Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 50,Feature 51,Feature 52,Feature 53,Feature 54,Feature 55,Feature 56,Feature 57,Feature 58,Feature 59,Feature 60,Feature 61,Feature 62,Feature 63,Feature 64,Feature 65,Feature 66,Feature 67,Feature 68,Feature 69,Feature 70,Feature 71,Feature 72,Feature 73,Feature 74,Feature 75,Feature 76,Feature 77,Feature 78,Feature 79,Feature 80,Feature 81,Feature 82,Feature 83,Feature 84,Feature 85,Feature 86,Feature 87,Feature 88,Feature 89,Feature 90,Feature 91,Feature 92,Feature 93,Feature 94,Feature 95,Feature 96,Feature 97,Feature 98,Feature 99,Feature 100,Target
-462.274902,117.40081,41.621407,46.054493,29.939167,29.537901,19.568834,18.759113,11.722778,11.730847,6.430432,6.907022,2.680286,3.859522,0.624628,2.183189,-0.43305,1.618786,-0.418543,1.252748,-0.471036,1.516015,-0.071201,1.725614,0.063797,1.219599,-0.436734,0.910514,-0.50359,0.877444,-0.290207,1.320982,-0.144468,0.902284,0.032027,0.859578,-0.314163,0.808764,0.15984,0.827835,-0.127825,0.656737,-0.225405,0.394549,0.009544,0.309955,-0.040693,0.293814,0.084787,0.539408,0.076072,0.116202,0.076207,0.338423,0.255647,0.164715,0.114236,0.207792,0.262482,-0.084566,0.10038,0.026576,0.239175,-0.044501,0.15888,-0.00518,0.220851,-0.075693,0.280979,0.075935,0.41632,0.14239,0.170949,0.036638,0.418788,0.035421,0.245578,-0.160879,0.284231,-0.114617,0.37525,0.009132,0.127914,-0.172274,0.109752,-0.208827,0.083141,-0.201514,0.096225,-0.091336,0.057974,-0.279288,0.062655,-0.296096,-0.016387,-0.123488,-0.096736,-0.425704,-0.089915,-0.40894,COPD
-464.830475,72.563271,63.236595,51.539948,41.165695,33.815987,29.452465,26.581385,23.885227,20.650993,17.100916,13.726791,11.002861,8.982443,7.531155,6.345682,5.283824,4.30473,3.536063,3.058294,2.896454,2.85106,2.692593,2.264405,1.677558,1.169467,0.975411,1.081552,1.25153,1.18161,0.798923,0.26555,-0.141179,-0.273406,-0.166293,0.028606,0.212955,0.361509,0.513577,0.689874,0.885076,1.067435,1.215654,1.324156,1.387695,1.404499,1.385278,1.354106,1.356059,1.405269,1.473769,1.508975,1.479748,1.407736,1.347676,1.338427,1.370617,1.415163,1.449936,1.477525,1.506273,1.521148,1.4937,1.424992,1.338645,1.275104,1.243119,1.217803,1.161666,1.068121,0.956972,0.865613,0.807922,0.775306,0.750104,0.719779,0.693866,0.689937,0.691959,0.675334,0.617828,0.529595,0.451409,0.414511,0.416696,0.428028,0.42055,0.395621,0.367511,0.349891,0.337501,0.316058,0.282135,0.246698,0.21776,0.192299,0.159445,0.117512,0.091063,0.113753,COPD
-319.082733,121.849968,69.63147,38.603012,30.819262,28.417616,23.97542,19.19945,15.927407,13.734909,11.513489,9.857093,8.752335,7.143154,5.082737,3.880864,3.580884,3.212596,2.559915,2.721946,3.732443,3.956318,2.637528,1.47794,1.643582,2.286081,2.358182,2.225712,2.342117,2.217437,1.333245,0.668704,1.041603,1.692482,1.601598,1.142307,1.056124,1.325119,1.295631,1.046025,1.269595,1.801058,1.498815,0.506465,0.305304,1.245881,1.778359,1.06729,0.235397,0.365591,0.825356,0.783405,0.467329,0.439731,0.629629,0.730087,0.658889,0.610132,0.59446,0.389103,0.114108,0.282378,0.700603,0.740574,0.468789,0.331422,0.341964,0.326824,0.186805,0.081839,0.212807,0.333607,0.234808,0.20908,0.310327,0.273299,0.172231,0.197541,0.272444,0.27899,0.143089,-0.008417,0.057146,0.141648,0.006448,-0.0191,0.179366,0.208412,0.045774,0.024689,0.152314,0.185991,0.070786,0.025117,0.13747,0.179696,0.026338,-0.134694,-0.124936,-0.016471,COPD
-308.507111,134.060196,70.642525,35.080532,28.633177,26.920729,21.754404,16.866102,14.011793,11.788765,9.333282,7.660358,7.180143,7.109902,6.527102,5.133047,3.617092,2.865954,2.674544,2.718401,3.185068,3.471051,2.806383,2.014378,2.034303,2.30609,2.002671,1.622584,1.831421,2.057558,1.507987,1.068952,1.575798,2.119955,1.794869,1.305232,1.35855,1.51698,1.155328,0.761155,1.048923,1.588924,1.382912,0.707837,0.563038,0.991676,1.226534,0.979183,0.667429,0.696015,0.777206,0.629506,0.459971,0.508043,0.657672,0.623631,0.351776,0.302366,0.630472,0.790744,0.458002,0.106963,0.044697,0.082767,0.180567,0.216471,0.058272,0.001896,0.126875,0.24132,0.247052,0.127425,0.015739,0.107214,0.165632,-0.055556,-0.150726,0.110043,0.27537,0.116393,-0.026978,0.052442,0.254263,0.401623,0.275444,0.01142,-0.076431,-0.025167,-0.025918,-0.046081,0.0084,0.035388,-0.00882,0.012307,0.131881,0.190681,0.132425,0.038577,-0.108544,-0.194315,COPD
-290.558075,108.497452,41.119461,39.640461,25.556114,28.016291,18.176844,18.513014,13.040781,14.238709,9.609527,11.330753,6.297633,8.008311,3.810873,6.397192,2.683746,5.369556,1.778699,3.774718,1.227261,3.434609,1.196882,1.86187,-0.675667,1.945088,1.056819,2.818568,0.223081,1.958324,0.84811,3.180364,1.327771,1.500221,-1.319184,-0.146182,-1.428537,0.104257,-1.122282,-0.431462,-1.241395,0.875209,0.506597,0.431199,-1.379775,-0.36319,0.233207,0.878625,-0.260129,-0.142709,0.18696,1.444334,0.767157,0.051087,-1.049465,-0.393957,0.400512,0.876152,-0.382342,-0.41502,0.507314,1.167759,1.836823,2.005806,1.278411,-0.289597,-1.758195,-3.066081,-2.547856,-1.82352,0.476021,1.512779,1.437493,0.039564,-0.317549,-0.795756,0.210832,0.336074,0.773195,-0.459234,-1.533153,-0.861147,1.280705,0.53976,0.296809,-0.520927,0.070177,-0.383307,0.274189,0.191391,0.235628,-0.42312,0.32455,0.510548,1.263246,-0.154194,-0.333636,-1.022218,-0.606842,-0.618602,COPD
-253.196243,103.356522,30.48316,36.09613,29.54118,29.800072,19.926407,19.34926,13.57409,17.415712,12.666221,13.710496,8.757927,9.446923,5.819837,8.348951,5.324584,8.538672,4.433306,4.137218,2.740749,5.779426,2.206039,3.092669,1.81924,3.884231,1.420765,3.145236,2.158278,3.711942,0.6952,1.823892,1.663362,3.066507,0.387788,0.579346,-0.600646,1.549915,0.612785,0.43425,-0.4765,1.632073,0.397938,-0.391585,-1.018362,1.33624,1.31892,0.814135,-0.493007,-0.229114,-0.085529,0.582138,0.136426,-0.090064,-1.266984,-0.416905,0.234547,0.166151,-0.07521,0.129143,0.238663,0.34483,0.798181,0.796527,-0.016664,-1.41919,-1.674395,-1.293043,-0.50847,-1.23607,-0.275593,0.344083,0.613601,-0.128278,0.120316,-0.857415,-0.27296,0.096972,0.37958,-0.530001,-0.556731,-0.44106,0.510783,0.007614,0.213862,-0.188425,0.171104,-0.777053,-0.365189,-0.383751,0.220288,-0.105383,0.069949,0.072005,0.799397,-0.144943,-0.313622,-0.81444,-0.554696,-0.610882,COPD
-266.205261,173.434036,76.293938,37.68602,19.127148,10.642526,8.441012,7.817563,6.934266,5.828319,5.445817,5.518648,5.080202,3.8775,3.033562,2.669909,2.35874,2.345014,2.803603,3.189598,3.032984,2.696537,2.36339,1.768578,1.422335,1.194485,1.106907,1.448731,1.345751,0.888405,0.741774,0.737873,0.77546,0.798591,0.727089,0.67772,0.863414,0.988117,0.664137,0.590342,0.737748,0.837309,0.878055,0.591004,0.56608,0.744115,0.836522,0.705807,0.757227,1.17602,1.075779,0.719675,0.844308,0.902708,0.642839,0.512706,0.601023,0.688914,0.62379,0.519119,0.421752,0.370842,0.515685,0.559259,0.327522,0.31155,0.36393,0.243853,0.268327,0.365839,0.42265,0.662355,0.663858,0.348968,0.239798,0.063435,0.078799,0.279872,0.205439,0.108541,0.197861,0.348758,0.358896,0.432379,0.433777,0.149267,0.074315,0.063875,0.097171,0.290225,0.215062,0.072872,-0.011254,-0.014919,0.108314,0.171687,0.098331,-0.083268,-0.179532,-0.162995,COPD
-233.944672,143.764496,65.702606,45.906326,20.720182,15.900096,6.498086,8.750695,5.684612,9.042159,6.118788,8.877872,5.06234,7.134098,3.719154,6.099001,3.12513,4.984084,1.881796,3.627771,0.945423,3.138877,1.269132,3.154408,1.322413,3.153763,1.550627,3.067357,1.027676,2.63326,1.244326,2.85184,1.062822,1.806645,0.561079,1.634924,0.122847,1.04635,0.072031,0.895464,0.0305,1.085457,0.477845,0.983703,-0.031752,0.590556,0.429971,0.883123,0.333899,0.470451,0.059636,0.767562,0.639566,0.431966,0.076277,0.189633,0.380304,0.522409,0.156285,0.1604,0.409643,0.388258,0.446558,0.396623,0.569113,0.052511,-0.044953,-0.316519,0.04356,0.029095,0.552472,0.390441,0.709312,0.000922,0.363068,0.17662,0.454502,0.150106,0.733208,0.061036,-0.03073,-0.148706,0.670626,0.344715,0.468656,-0.059233,0.257979,-0.187209,0.34095,-0.056088,0.320125,-0.185655,0.232952,0.116516,0.60144,0.008686,-0.009114,-0.414293,0.042052,-0.240214,COPD
-354.36322,143.985428,77.389748,30.394577,16.246355,12.975556,5.561645,1.578039,8.305941,17.359919,18.126848,13.119729,10.724813,11.409933,10.223882,6.624312,3.23858,0.650707,-0.616222,1.619152,6.078956,7.622184,4.823327,2.687402,4.306608,5.930881,3.682018,0.455907,0.738666,3.102229,3.094403,1.084812,0.954838,3.205119,4.353503,3.06623,1.748925,1.9737,2.133016,1.246357,0.807841,1.545115,1.807829,1.030523,0.819878,1.740433,2.122117,1.235674,0.457556,0.772431,1.146308,0.587645,-0.048628,0.426351,1.211006,0.889373,-0.001706,0.011776,0.676249,0.756969,0.211169,-0.05117,0.172034,0.294798,0.085228,0.046995,0.3695,0.45098,0.074897,-0.083836,0.185835,0.307069,0.094318,-0.054871,0.00721,0.096645,0.098533,0.117734,0.227951,0.233703,0.010394,-0.153465,0.00702,0.254807,0.247568,0.081162,0.016253,0.019445,-0.022426,-0.037945,0.010787,0.020022,-0.045133,-0.09925,-0.03499,0.065269,0.033588,-0.092042,-0.146559,-0.103006,COPD
-323.042938,121.858742,66.622749,36.221634,29.583771,27.932293,24.18918,19.186138,15.417239,13.204185,11.264936,9.763258,8.629656,7.19127,5.710659,4.866864,4.298309,3.427199,2.572449,2.815456,3.895919,4.056595,2.748788,1.609266,1.561063,1.797401,1.752981,1.994053,2.425521,2.275947,1.513147,1.145949,1.498369,1.747447,1.486261,1.360768,1.505737,1.409685,0.831896,0.465682,0.991312,1.645729,1.28299,0.509053,0.516416,1.250382,1.652976,1.189363,0.506671,0.521569,0.999866,1.099197,0.74521,0.533489,0.582705,0.514461,0.313261,0.392512,0.659298,0.642006,0.397131,0.39394,0.619085,0.529244,0.139522,-0.017181,0.070465,0.118193,0.119785,0.184986,0.264879,0.236175,0.207516,0.306833,0.333976,0.184003,0.05012,0.092879,0.257857,0.333847,0.192837,0.026349,0.11889,0.220018,0.029328,-0.08067,0.083891,0.144272,0.081708,0.160208,0.289904,0.234338,0.094698,0.021685,0.122996,0.317001,0.227215,-0.143745,-0.320231,-0.19303,COPD
-311.883179,131.574295,66.937866,33.895733,29.694796,27.756224,22.454086,17.82724,14.515674,12.028039,9.84768,8.331336,7.807077,7.496579,6.76319,5.60213,4.162937,3.164837,2.894467,3.279455,4.082856,4.325627,3.218976,1.949277,1.757498,2.258121,2.464996,2.344905,2.236807,2.099638,1.614612,1.375761,1.792279,2.161272,1.858805,1.595281,1.897513,2.093245,1.448183,0.792976,1.076626,1.634743,1.386411,0.77135,0.684904,1.138247,1.363925,1.025643,0.500542,0.402366,0.615139,0.552899,0.247575,0.317564,0.620359,0.571397,0.190416,0.107281,0.498833,0.730614,0.416049,0.157621,0.238913,0.297108,0.251929,0.187496,0.035586,0.046276,0.266947,0.359421,0.226503,-0.000385,-0.144047,0.007471,0.211267,0.188147,0.176699,0.285704,0.255129,0.07681,-0.065245,-0.084086,0.02086,0.10196,-0.00798,-0.111047,0.038567,0.205155,0.090725,-0.112281,-0.057116,0.160156,0.177092,0.031136,-0.015708,-0.027258,-0.051191,-0.032641,-0.075732,-0.178909,COPD
-294.731232,104.024544,38.465027,37.896297,24.620796,27.83049,18.6714,18.438828,12.997725,14.412757,9.490521,11.861505,6.624157,8.756394,4.30502,6.942258,2.994452,5.205407,1.604966,3.669268,1.40638,3.817301,1.401004,2.399879,-0.445625,1.721575,0.666309,2.822176,-0.018965,1.737714,1.550565,4.399884,2.151379,1.856153,-1.271922,0.215394,-1.420235,-0.283704,-1.33346,0.0271,-0.790321,1.188092,1.118495,0.822779,-0.921726,0.125265,0.773076,1.252801,-0.041581,0.081866,0.397278,1.81917,1.031742,0.138702,-0.906693,-0.377409,0.508526,0.953086,-0.472828,-0.447267,0.911295,1.821309,2.095338,2.208573,1.572104,-0.501455,-1.949568,-3.468694,-2.763958,-1.916427,0.372286,1.67042,1.669548,0.298808,-0.20686,-0.74665,0.427006,0.611895,0.844369,-0.598023,-1.549274,-0.794344,1.390706,0.759121,0.357399,-0.373235,-0.068511,-0.598027,0.406421,0.434376,0.424024,-0.50839,0.353047,0.639835,1.318491,0.069175,-0.284136,-1.115733,-0.478524,-0.309591,COPD
-253.22673,103.39209,29.197937,33.749207,27.972794,29.498594,20.101088,19.449652,13.83602,17.788284,12.868935,13.778978,7.967667,9.423052,6.459472,9.222622,5.926683,8.52354,4.538693,4.436409,2.629021,5.632662,2.624993,3.680394,1.6998,3.784352,1.401414,3.163406,2.475802,3.916583,0.804244,2.395988,1.888431,3.090792,0.542893,0.811613,-0.53884,1.513665,0.442446,0.553205,-0.147416,1.89918,0.698408,-0.047623,-0.729873,1.371664,1.321624,0.750335,-0.471128,-0.043005,-0.033361,0.689273,0.3345,-0.142843,-0.879193,-0.414882,-0.099922,-0.050041,-0.187554,0.127286,0.377776,0.56243,1.053716,0.634827,0.001606,-1.195083,-1.500164,-1.155716,-0.601462,-1.162407,-0.38083,0.331256,0.60294,0.003318,0.3578,-0.693503,-0.264026,0.049197,0.273148,-0.58071,-0.460956,-0.650454,0.394797,-0.001405,0.322316,-0.235419,0.08437,-0.71122,-0.434112,-0.562517,0.138456,-0.1826,0.096183,-0.042973,0.645707,-0.152727,-0.204416,-0.863137,-0.60659,-0.475208,COPD
